basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse
02/01606500,0.24231475591659546,0.2711138427257538,0.28485333919525146,0.2997882068157196,0.30084529519081116,0.3045477569103241,0.3058873116970062,0.2870471179485321
02/01632000,0.5630446076393127,0.5803377628326416,0.5920724868774414,0.5857061147689819,0.566065788269043,0.5982562899589539,0.6112549901008606,0.5852437615394592
02/01632900,0.43671372532844543,0.4765414595603943,0.4842861592769623,0.45650291442871094,0.4346438944339752,0.4137425422668457,0.48728397488594055,0.4556742310523987
02/01634500,0.3656933307647705,0.40309056639671326,0.4200592339038849,0.4206070303916931,0.4236580729484558,0.4098517596721649,0.46735188364982605,0.41575878858566284
02/01638480,0.36343875527381897,0.34457457065582275,0.3368968963623047,0.32859957218170166,0.3337070047855377,0.36616426706314087,0.43780747056007385,0.3587406873703003
02/01664000,0.22479835152626038,0.27119579911231995,0.2715227007865906,0.2753235399723053,0.27457866072654724,0.2751366198062897,0.30386072397232056,0.27090221643447876
02/01666500,0.33225589990615845,0.3438261151313782,0.34275808930397034,0.34426167607307434,0.35209041833877563,0.350212424993515,0.3797074854373932,0.34928902983665466
02/01667500,0.35482534766197205,0.37302011251449585,0.373971551656723,0.3750428259372711,0.3713068962097168,0.3703487515449524,0.38321951031684875,0.3716733157634735
02/01669000,0.15267303586006165,0.18347297608852386,0.1814904659986496,0.19172686338424683,0.1886938065290451,0.21090534329414368,0.23523887991905212,0.1920216977596283
02/01669520,0.22399258613586426,0.3073441982269287,0.34353944659233093,0.3348492383956909,0.31878215074539185,0.3356723487377167,0.3132557272911072,0.31106066703796387
02/02011400,0.1897551417350769,0.20957350730895996,0.2155836522579193,0.221835196018219,0.23020827770233154,0.23394644260406494,0.23469236493110657,0.21935687959194183
02/02013000,0.2199348658323288,0.24230696260929108,0.23242142796516418,0.2397242933511734,0.24766935408115387,0.24149543046951294,0.22824819386005402,0.23595398664474487
02/02014000,0.21756611764431,0.2440364956855774,0.2387208193540573,0.26011261343955994,0.2771551311016083,0.277278870344162,0.243063822388649,0.2509457767009735
02/02015700,0.2556210458278656,0.265224814414978,0.2735935151576996,0.2910391390323639,0.2918350398540497,0.29203397035598755,0.30591273307800293,0.28216293454170227
02/02016000,0.16958892345428467,0.20169135928153992,0.21053621172904968,0.22130252420902252,0.21728573739528656,0.22568544745445251,0.19911859929561615,0.20643503963947296
02/02017500,0.14061251282691956,0.16555102169513702,0.1766597181558609,0.18984895944595337,0.20295341312885284,0.20314449071884155,0.21013781428337097,0.18408799171447754
02/02018000,0.18126459419727325,0.19345566630363464,0.19474656879901886,0.21085985004901886,0.2183539718389511,0.2253153771162033,0.21628327667713165,0.2057350128889084
02/02027000,0.3066992461681366,0.37245500087738037,0.405828058719635,0.4031675159931183,0.43136730790138245,0.42313429713249207,0.43914490938186646,0.3973918855190277
02/02027500,0.40754908323287964,0.44847169518470764,0.44599905610084534,0.4490043520927429,0.46148571372032166,0.47194764018058777,0.5146904587745667,0.4570160210132599
02/02028500,0.26984477043151855,0.2980109751224518,0.30795612931251526,0.3133745491504669,0.3080292344093323,0.31234413385391235,0.3296114504337311,0.305582195520401
02/02038850,0.42742210626602173,0.46805140376091003,0.46445542573928833,0.47831103205680847,0.46452176570892334,0.44051259756088257,0.4554045796394348,0.4569569230079651
03/02051500,0.33528992533683777,0.3264690041542053,0.30768319964408875,0.31472620368003845,0.30083540081977844,0.2933121919631958,0.26195621490478516,0.3057578504085541
03/02053800,0.2189418226480484,0.24080906808376312,0.2588965594768524,0.26485753059387207,0.2729467451572418,0.2742834687232971,0.28981271386146545,0.2600783407688141
03/02055100,0.2792082130908966,0.29651355743408203,0.3005434572696686,0.30085456371307373,0.298686146736145,0.3220864236354828,0.3636060357093811,0.30877771973609924
03/02056900,0.2307576984167099,0.24017609655857086,0.25368034839630127,0.25411152839660645,0.25779101252555847,0.25860387086868286,0.2745971977710724,0.2528151869773865
03/02059500,0.3321083188056946,0.33327847719192505,0.3168039619922638,0.3147704005241394,0.31758353114128113,0.31868916749954224,0.34057101607322693,0.32482755184173584
03/02064000,0.5136610865592957,0.48410969972610474,0.48464229702949524,0.4855402112007141,0.4884061813354492,0.4840424358844757,0.4947725236415863,0.49073994159698486
03/02065500,0.3589782416820526,0.3802812099456787,0.3828248679637909,0.3807232975959778,0.38657066226005554,0.37520813941955566,0.3835023045539856,0.3782980442047119
03/02070000,0.24506157636642456,0.27537503838539124,0.2838854491710663,0.29361671209335327,0.297800749540329,0.29291021823883057,0.3043724596500397,0.2847186028957367
03/02074500,0.3784799575805664,0.3768034875392914,0.3686755299568176,0.3573611080646515,0.35665982961654663,0.3632727265357971,0.3931810259819031,0.3706333637237549
03/02077200,0.5451003313064575,0.5651684999465942,0.57181316614151,0.5769659876823425,0.5786994695663452,0.5904701352119446,0.5720657110214233,0.5714689493179321
03/02081500,0.2538131773471832,0.2284780591726303,0.24218414723873138,0.24761413037776947,0.23442420363426208,0.22686433792114258,0.22642146050930023,0.2371145784854889
